,Ev#,Distance,Stroke,Rank,Name,Yr,School,Prelim,Final,Points
24,6.0,50.0,Freestyle,25.0,"Coutinho, Pedro ",SR,LOU,20.27,,0.0
25,6.0,50.0,Freestyle,25.0,"Heck, Logan     ",SR,UNC,20.27,,0.0
26,6.0,50.0,Freestyle,27.0,"Popp, Lucas     ",JR,UNC,20.29,,0.0
27,6.0,50.0,Freestyle,28.0,"Calegan, Haden  ",JR,PITT,20.34,,0.0
28,6.0,50.0,Freestyle,29.0,"Perdue, Philip  ",SO,UNC,20.36,,0.0
29,6.0,50.0,Freestyle,30.0,"Seaberg, Michae ",JR,Duke,20.37,,0.0
30,6.0,50.0,Freestyle,31.0,"Borowicz, Rober ",JR,GT,20.42,,0.0
31,6.0,50.0,Freestyle,31.0,"Payne, Dylan    ",JR,Duke,20.42,,0.0
32,6.0,50.0,Freestyle,33.0,"Tate, Sean      ",FR,Duke,20.44,,0.0
33,6.0,50.0,Freestyle,34.0,"Becksted, Drake ",SR,VT,20.59,,0.0
34,6.0,50.0,Freestyle,35.0,"Legard, Yusuke  ",FR,Duke,20.62,,0.0
35,6.0,50.0,Freestyle,36.0,"Hasemann, Nicho ",JR,LOU,20.63,,0.0
36,6.0,50.0,Freestyle,37.0,"Derdeyn, Colin  ",FR,BC,20.75,,0.0
37,6.0,50.0,Freestyle,38.0,"Hudspith, Micha ",SR,ND,20.79,,0.0
38,6.0,50.0,Freestyle,39.0,"Chen, Victor    ",SR,Duke,20.81,,0.0
39,6.0,50.0,Freestyle,40.0,"Stacklin, Adam  ",JR,VT,20.83,,0.0
40,6.0,50.0,Freestyle,41.0,"Kropp, Peter    ",JR,Duke,20.84,,0.0
41,6.0,50.0,Freestyle,42.0,"Lovasik, Brian  ",FR,PITT,20.85,,0.0
42,6.0,50.0,Freestyle,43.0,"Mooers, John    ",SO,BC,20.90,,0.0
43,6.0,50.0,Freestyle,44.0,"Chamness, Conor ",JR,BC,20.96,,0.0
44,6.0,50.0,Freestyle,45.0,"Cohen Solal, Da ",SO,GT,20.97,,0.0
45,6.0,50.0,Freestyle,46.0,"Stachel, Nichol ",FR,PITT,21.07,,0.0
46,6.0,50.0,Freestyle,47.0,"Van Leeuwaarde, ",SO,FSU,21.10,,0.0
47,6.0,50.0,Freestyle,48.0,"Bigot, Nicholas ",SO,Duke,21.12,,0.0
48,6.0,50.0,Freestyle,49.0,"Johnson, Robert ",SR,BC,21.13,,0.0
49,6.0,50.0,Freestyle,50.0,"Tankle, Matthew ",SR,PITT,21.19,,0.0
50,6.0,50.0,Freestyle,51.0,"Lehner, Richard ",SR,GT,21.23,,0.0
51,6.0,50.0,Freestyle,52.0,"Howard, David   ",JR,BC,21.30,,0.0
52,6.0,50.0,Freestyle,53.0,"Hunter, David   ",SR,BC,21.33,,0.0
53,6.0,50.0,Freestyle,54.0,"Junghahn, Nicol ",SO,BC,21.40,,0.0
54,6.0,50.0,Freestyle,55.0,"Legrand, Jemal  ",JR,FSU,21.58,,0.0
55,6.0,50.0,Freestyle,56.0,"Vanderwel, Cole ",FR,BC,21.60,,0.0
0,9.0,400.0,IM,1.0,"Owen, Robert    ",JR,VT,3:43.30,3:41.08,32.0
1,9.0,400.0,IM,2.0,"Tesone, Nolan   ",SR,LOU,3:42.69,3:41.41,28.0
2,9.0,400.0,IM,3.0,"McCurdy, Christ ",SR,Ncsu,3:45.62,3:44.06,27.0
3,9.0,400.0,IM,4.0,"Snyder, Austin  ",SR,Ncsu,3:44.65,3:44.39,26.0
4,9.0,400.0,IM,5.0,"Harting, Zach   ",FR,LOU,3:47.81,3:47.86,25.0
5,9.0,400.0,IM,6.0,"Campbell, Henry ",SO,UNC,3:47.55,3:48.58,24.0
6,9.0,400.0,IM,7.0,"Massey, Ryan    ",JR,LOU,3:47.89,3:48.80,23.0
7,9.0,400.0,IM,8.0,"Switzer, Zachar ",JR,VT,3:48.33,3:51.34,22.0
8,9.0,400.0,IM,9.0,"Ipsen, Anton Oe ",SO,Ncsu,3:48.76,3:45.86,20.0
9,9.0,400.0,IM,10.0,"Quinn, Austin   ",JR,UVA,3:49.61,3:46.31,17.0
10,9.0,400.0,IM,11.0,"Lierley, Zachar ",JR,PITT,3:50.18,3:47.50,16.0
11,9.0,400.0,IM,12.0,"Craddock, Micha ",FR,VT,3:50.94,3:48.63,15.0
12,9.0,400.0,IM,13.0,"Fong, Zachary   ",FR,UVA,3:48.45,3:49.56,14.0
13,9.0,400.0,IM,14.0,"Linker, Adam    ",JR,Ncsu,3:49.48,3:50.47,13.0
14,9.0,400.0,IM,15.0,"Miller, Patrick ",JR,Duke,3:48.66,3:51.33,12.0
15,9.0,400.0,IM,16.0,"Tee, Eugene     ",JR,UNC,3:50.91,3:53.92,11.0
16,9.0,400.0,IM,17.0,"Bradley, Kevin  ",JR,ND,3:51.76,3:47.68,9.0
17,9.0,400.0,IM,18.0,"Cairns, Noah    ",FR,UNC,3:53.10,3:53.67,7.0
18,9.0,400.0,IM,19.0,"McKenzie, Shane ",SR,ND,3:53.01,3:54.05,6.0
19,9.0,400.0,IM,20.0,"Shaw, Dalton    ",SO,UNC,3:54.34,3:54.06,5.0
20,9.0,400.0,IM,21.0,"Johnson, Matthe ",SO,Duke,3:54.12,3:54.33,4.0
21,9.0,400.0,IM,22.0,"Anderson, Thoma ",JR,ND,3:52.43,3:56.11,3.0
22,9.0,400.0,IM,23.0,"Williamson, Col ",FR,GT,3:53.99,3:56.21,2.0
23,9.0,400.0,IM,24.0,"Mannix, Richard ",SO,ND,3:53.42,3:57.28,1.0
24,9.0,400.0,IM,25.0,"Schultz, Willia ",JR,LOU,3:54.81,,0.0
25,9.0,400.0,IM,26.0,"Pawlowicz, Nath ",FR,VT,3:55.35,,0.0
26,9.0,400.0,IM,27.0,"Edwards, Justin ",SO,VT,3:56.44,,0.0
27,9.0,400.0,IM,28.0,"Doxtater, Kyle  ",SR,FSU,3:56.48,,0.0
28,9.0,400.0,IM,29.0,"Kenny, Michael  ",SR,GT,3:56.55,,0.0
29,9.0,400.0,IM,30.0,"Shek, Steven    ",FR,ND,3:56.65,,0.0
30,9.0,400.0,IM,31.0,"Cortens, Taylor ",FR,BC,3:57.18,,0.0
31,9.0,400.0,IM,32.0,"Hamilton, Alexa ",JR,Ncsu,3:57.31,,0.0
32,9.0,400.0,IM,33.0,"McCoy, Kevin    ",SO,BC,3:57.61,,0.0
33,9.0,400.0,IM,34.0,"Rice, Mackenzie ",SR,PITT,3:57.70,,0.0
34,9.0,400.0,IM,35.0,"Beals, Joshua   ",JR,UNC,4:02.01,,0.0
0,10.0,100.0,Butterfly,1.0,"Lewis, Samuel   ",SR,UNC,46.09,45.77,32.0
1,10.0,100.0,Butterfly,2.0,"Plaschka, Justi ",SO,ND,47.04,46.37,28.0
2,10.0,100.0,Butterfly,3.0,"Coutinho, Pedro ",SR,LOU,46.02,46.46,27.0
3,10.0,100.0,Butterfly,4.0,"Hammoud, Yousse ",SR,GT,46.62,46.78,26.0
4,10.0,100.0,Butterfly,5.0,"Quallen, Joshua ",JR,LOU,46.85,46.80,25.0
5,10.0,100.0,Butterfly,6.0,"Boland, David   ",JR,LOU,46.90,47.00,24.0
6,10.0,100.0,Butterfly,7.0,"Grauslys, Matth ",FR,ND,47.01,47.11,23.0
7,10.0,100.0,Butterfly,8.0,"Colley, Ben     ",SR,UNC,46.87,47.22,22.0
8,10.0,100.0,Butterfly,9.0,"Deana, Jason    ",SR,Ncsu,47.50,47.05,20.0
9,10.0,100.0,Butterfly,10.0,"Hensley, Thaxte ",SR,FSU,47.14,47.13,17.0
10,10.0,100.0,Butterfly,11.0,"Bretscher, Jame ",FR,Ncsu,47.48,47.39,16.0
11,10.0,100.0,Butterfly,12.0,"Kouvaris, Gust  ",FR,UVA,47.89,47.41,15.0
12,10.0,100.0,Butterfly,13.0,"Conway, Matthew ",JR,UNC,47.74,47.70,14.0
13,10.0,100.0,Butterfly,14.0,"Keblish, Bryce  ",FR,UVA,47.63,47.72,13.0
14,10.0,100.0,Butterfly,15.0,"Armstrong, Davi ",SR,Duke,47.43,47.87,12.0
15,10.0,100.0,Butterfly,16.0,"Oberg, William  ",SO,GT,47.89,47.88,11.0
16,10.0,100.0,Butterfly,17.0,"Benedict, Brent ",FR,VT,48.03,47.76,9.0
17,10.0,100.0,Butterfly,18.0,"Szabo, Norbert  ",FR,VT,47.96,47.81,7.0
18,10.0,100.0,Butterfly,19.0,"Southern, Benja ",JR,GT,48.05,47.97,6.0
19,10.0,100.0,Butterfly,20.0,"Takabayashi, Ka ",JR,Duke,48.25,48.11,5.0
20,10.0,100.0,Butterfly,21.0,"Stojmenovic, St ",JR,FSU,48.17,48.13,4.0
21,10.0,100.0,Butterfly,22.0,"Pierce, Harriso ",SO,VT,48.02,48.31,3.0
22,10.0,100.0,Butterfly,23.0,"Urbano, Jacob   ",SO,FSU,48.21,48.32,2.0
23,10.0,100.0,Butterfly,24.0,"Hensley, Noah   ",FR,FSU,47.98,48.42,1.0
24,10.0,100.0,Butterfly,25.0,"Greene, Aaron   ",JR,LOU,48.34,,0.0
25,10.0,100.0,Butterfly,26.0,"Lockman, Matthe ",JR,UVA,48.39,,0.0
26,10.0,100.0,Butterfly,27.0,"Cusick, Patrick ",FR,UNC,48.40,,0.0
27,10.0,100.0,Butterfly,28.0,"Becksted, Drake ",SR,VT,48.43,,0.0
28,10.0,100.0,Butterfly,29.0,"Ayhan, Bogac    ",SR,ND,48.46,,0.0
29,10.0,100.0,Butterfly,30.0,"Sweeney, David  ",SR,PITT,48.49,,0.0
30,10.0,100.0,Butterfly,31.0,"Kaleoaloha, Kan ",FR,FSU,48.61,,0.0
31,10.0,100.0,Butterfly,32.0,"Pichette, Micha ",FR,PITT,48.74,,0.0
32,10.0,100.0,Butterfly,33.0,"Mooers, John    ",SO,BC,49.15,,0.0
33,10.0,100.0,Butterfly,34.0,"Kelly, Daniel   ",SR,BC,49.37,,0.0
34,10.0,100.0,Butterfly,35.0,"Howard, David   ",JR,BC,50.27,,0.0
35,10.0,100.0,Butterfly,36.0,"Creighton, Dani ",SO,BC,50.69,,0.0
36,10.0,100.0,Butterfly,37.0,"Derdeyn, Colin  ",FR,BC,50.75,,0.0
37,10.0,100.0,Butterfly,38.0,"Johnson, Robert ",SR,BC,50.78,,0.0
0,11.0,200.0,Freestyle,1.0,"Bilis, Simonas  ",SR,Ncsu,1:33.09,1:32.46,32.0
1,11.0,200.0,Freestyle,2.0,"Dahl, Soeren    ",JR,Ncsu,1:33.71,1:32.88,28.0
2,11.0,200.0,Freestyle,3.0,"Held, Ryan      ",SO,Ncsu,1:33.62,1:32.97,27.0
3,11.0,200.0,Freestyle,4.0,"Carroll, Trevor ",JR,LOU,1:33.84,1:33.52,26.0
4,11.0,200.0,Freestyle,5.0,"Lindenbauer, Ma ",JR,LOU,1:34.87,1:34.98,25.0
5,11.0,200.0,Freestyle,6.0,"Bureau, Lucas   ",SR,VT,1:35.21,1:35.10,24.0
6,11.0,200.0,Freestyle,7.0,"Ress, Justin    ",FR,Ncsu,1:34.70,1:35.69,23.0
7,11.0,200.0,Freestyle,8.0,"Jackson, Trent  ",JR,ND,1:35.45,1:36.07,22.0
8,11.0,200.0,Freestyle,9.0,"Georgiadis, Pet ",SO,UVA,1:35.82,1:36.16,20.0
9,11.0,200.0,Freestyle,10.0,"Zoucha, Jonatha ",SO,LOU,1:36.10,1:36.32,17.0
10,11.0,200.0,Freestyle,11.0,"Bonk, Joseph    ",JR,Ncsu,1:36.24,1:36.61,16.0
11,11.0,200.0,Freestyle,12.0,"Fujan, Reed     ",JR,ND,1:35.99,1:36.65,15.0
12,11.0,200.0,Freestyle,13.0,"Muratovic, Emir ",FR,FSU,1:36.30,1:36.98,14.0
13,11.0,200.0,Freestyle,14.0,"Grodecki, Jonat ",JR,LOU,1:36.84,1:37.24,12.5
14,11.0,200.0,Freestyle,14.0,"Johnson, Scott  ",JR,Ncsu,1:37.00,1:37.24,12.5
15,11.0,200.0,Freestyle,16.0,"Deforest, Willi ",SR,UNC,1:36.26,1:37.25,11.0
16,11.0,200.0,Freestyle,17.0,"Heck, Logan     ",SR,UNC,1:37.55,1:36.98,9.0
17,11.0,200.0,Freestyle,18.0,"Popp, Lucas     ",JR,UNC,1:37.45,1:37.26,7.0
18,11.0,200.0,Freestyle,19.0,"Lovasik, Brian  ",FR,PITT,1:37.21,1:37.40,6.0
19,11.0,200.0,Freestyle,20.0,"Tate, Sean      ",FR,Duke,1:38.13,1:37.83,5.0
20,11.0,200.0,Freestyle,21.0,"Harasz, Noah    ",SO,GT,1:37.70,1:37.84,4.0
21,11.0,200.0,Freestyle,22.0,"Stacklin, Adam  ",JR,VT,1:38.14,1:37.91,3.0
22,11.0,200.0,Freestyle,23.0,"Hrabchak, Matth ",FR,UVA,1:37.65,1:37.98,2.0
23,11.0,200.0,Freestyle,24.0,"Hudspith, Micha ",SR,ND,1:37.44,1:38.04,1.0
24,11.0,200.0,Freestyle,25.0,"Cohen Solal, Da ",SO,GT,1:38.28,,0.0
25,11.0,200.0,Freestyle,26.0,"Brown, Connor   ",FR,ND,1:38.29,,0.0
26,11.0,200.0,Freestyle,27.0,"Magana, Nichola ",SO,UVA,1:38.47,,0.0
27,11.0,200.0,Freestyle,28.0,"Westergren, Mat ",SR,GT,1:38.49,,0.0
28,11.0,200.0,Freestyle,29.0,"Magnan, Samuel  ",FR,UVA,1:38.50,,0.0
29,11.0,200.0,Freestyle,30.0,"Tara, Sarik     ",SO,UVA,1:38.52,,0.0
30,11.0,200.0,Freestyle,31.0,"Gray, Spencer   ",JR,PITT,1:38.58,,0.0
31,11.0,200.0,Freestyle,32.0,"Bigot, Nicholas ",SO,Duke,1:38.67,,0.0
32,11.0,200.0,Freestyle,33.0,"Szuba, Michal   ",SR,VT,1:38.76,,0.0
33,11.0,200.0,Freestyle,34.0,"Petrone, Joseph ",JR,ND,1:38.89,,0.0
34,11.0,200.0,Freestyle,35.0,"Hickman, Riley  ",FR,Duke,1:39.38,,0.0
35,11.0,200.0,Freestyle,36.0,"Richardson, Ant ",JR,BC,1:40.17,,0.0
36,11.0,200.0,Freestyle,37.0,"McCarthy, Andre ",SR,PITT,1:40.19,,0.0
37,11.0,200.0,Freestyle,38.0,"Legard, Yusuke  ",FR,Duke,1:40.20,,0.0
38,11.0,200.0,Freestyle,39.0,"Vogel, Martin   ",SR,PITT,1:40.25,,0.0
39,11.0,200.0,Freestyle,40.0,"Golczewski, Dan ",FR,UVA,1:40.44,,0.0
40,11.0,200.0,Freestyle,41.0,"Sett, Aaron     ",FR,PITT,1:40.49,,0.0
41,11.0,200.0,Freestyle,42.0,"Ho, Ian         ",FR,VT,1:40.87,,0.0
